iter	Passed	Remaining
471	695	778
472	697	776
473	698	774
474	699	773
475	700	771
476	701	769
477	702	767
478	703	765
479	705	763
480	706	762
481	707	760
482	708	758
483	709	756
484	710	754
485	712	753
486	713	751
487	714	749
488	715	748
489	717	746
490	718	744
491	719	743
492	720	741
493	721	739
494	722	737
495	724	735
496	725	734
497	726	732
498	728	731
499	729	729
500	730	727
501	732	726
502	733	724
503	734	722
504	735	720
505	736	719
506	738	717
507	739	715
508	740	714
509	741	712
510	742	710
511	744	709
512	745	707
513	746	706
514	748	704
515	749	703
516	750	701
517	752	699
518	753	698
519	754	696
520	756	695
521	757	693
522	758	691
523	759	689
524	760	688
525	762	686
526	763	685
527	764	683
528	766	682
529	767	680
530	768	678
531	769	677
532	771	675
533	772	674
534	773	672
535	774	670
536	776	669
537	777	667
538	778	665
539	779	664
540	780	662
541	782	661
542	783	659
543	784	657
544	786	656
545	787	654
546	788	653
547	789	651
548	791	649
549	792	648
550	793	646
551	794	645
552	796	643
553	797	642
554	798	640
555	800	638
556	801	637
557	802	635
558	803	634
559	805	632
560	806	631
561	807	629
562	808	627
563	810	626
564	811	624
565	812	623
566	813	621
567	814	619
568	816	618
569	817	616
570	818	615
571	819	613
572	821	611
573	822	610
574	823	608
575	824	607
576	826	605
577	827	604
578	828	602
579	830	601
580	831	599
581	832	598
582	833	596
583	835	595
584	836	593
585	838	592
586	839	590
587	840	588
588	841	587
589	842	585
590	844	584
591	845	582
592	846	581
593	847	579
594	849	577
595	850	576
596	851	574
597	852	573
598	854	571
599	855	570
600	856	568
601	857	567
602	858	565
603	859	563
604	861	562
605	862	560
606	863	559
607	864	557
608	866	556
609	867	554
610	868	553
611	869	551
612	871	549
613	872	548
614	873	546
615	874	545
616	876	543
617	877	542
618	878	540
619	879	539
620	881	537
621	882	536
622	883	534
623	884	533
624	885	531
625	887	530
626	888	528
627	890	527
628	891	525
629	892	524
630	893	522
631	895	521
632	896	519
633	897	518
634	898	516
635	900	515
636	901	513
637	902	512
638	903	510
639	904	508
640	906	507
641	907	506
642	909	504
643	910	503
644	911	501
645	913	500
646	914	498
647	915	497
648	916	495
649	917	494
650	919	492
651	920	491
652	921	489
653	922	488
654	923	486
655	925	485
656	926	483
657	927	482
658	928	480
659	929	479
660	931	477
661	932	476
662	933	474
663	934	473
664	935	471
665	937	470
666	938	468
667	939	467
668	941	465
669	942	464
670	943	462
671	944	461
672	945	459
673	947	458
674	948	456
675	950	455
676	951	453
677	952	452
678	954	451
679	955	449
680	957	448
681	958	446
682	959	445
683	960	443
684	962	442
685	963	440
686	964	439
687	965	438
688	966	436
689	968	434
690	969	433
691	970	432
692	971	430
693	972	429
694	974	427
695	975	425
696	976	424
697	977	423
698	979	421
699	980	420
700	981	418
701	983	417
702	984	415
703	985	414
704	987	413
705	988	411
706	989	410
707	991	408
708	992	407
709	993	405
710	995	404
711	996	403
712	997	401
713	999	400
714	1000	398
715	1001	397
716	1003	395
717	1004	394
718	1005	393
719	1007	391
720	1008	390
721	1010	388
722	1011	387
723	1012	385
724	1013	384
725	1015	383
726	1016	381
727	1017	380
728	1018	378
729	1019	377
730	1021	375
731	1022	374
732	1023	372
733	1024	371
734	1025	369
735	1026	368
736	1028	366
737	1029	365
738	1030	363
739	1031	362
740	1032	360
741	1033	359
742	1034	357
743	1036	356
744	1037	355
745	1038	353
746	1040	352
747	1041	350
748	1042	349
749	1043	347
750	1045	346
751	1046	345
752	1047	343
753	1049	342
754	1050	340
755	1051	339
756	1052	337
757	1054	336
758	1055	335
759	1056	333
760	1058	332
761	1059	330
762	1060	329
763	1062	328
764	1063	326
765	1064	325
766	1065	323
767	1067	322
768	1068	320
769	1069	319
770	1071	318
771	1072	316
772	1073	315
773	1075	314
774	1076	312
775	1078	311
776	1079	309
777	1080	308
778	1082	307
779	1083	305
780	1084	304
781	1086	302
782	1087	301
783	1088	299
784	1090	298
785	1091	297
786	1093	295
787	1094	294
788	1095	293
789	1097	291
790	1098	290
791	1099	288
792	1101	287
793	1102	286
794	1103	284
795	1104	283
796	1105	281
797	1107	280
798	1108	278
799	1109	277
800	1110	275
801	1112	274
802	1113	273
803	1114	271
804	1115	270
805	1117	268
806	1118	267
807	1119	266
808	1120	264
809	1122	263
810	1123	261
811	1124	260
812	1125	258
813	1126	257
814	1128	256
815	1129	254
816	1130	253
817	1131	251
818	1133	250
819	1134	249
820	1135	247
821	1137	246
822	1138	244
823	1139	243
824	1141	242
825	1142	240
826	1143	239
827	1145	237
828	1146	236
829	1147	235
830	1149	233
831	1150	232
832	1151	230
833	1153	229
834	1154	228
835	1155	226
836	1157	225
837	1158	223
838	1159	222
839	1161	221
840	1162	219
841	1163	218
842	1165	216
843	1166	215
844	1167	214
845	1168	212
846	1169	211
847	1171	209
848	1172	208
849	1173	207
850	1174	205
851	1175	204
852	1177	202
853	1178	201
854	1179	200
855	1181	198
856	1182	197
857	1183	195
858	1184	194
859	1185	193
860	1187	191
861	1188	190
862	1189	188
863	1190	187
864	1191	186
865	1192	184
866	1194	183
867	1195	181
868	1196	180
869	1197	179
870	1199	177
871	1200	176
872	1201	174
873	1202	173
874	1203	171
875	1204	170
876	1206	169
877	1207	167
878	1208	166
879	1209	164
880	1210	163
881	1211	162
882	1213	160
883	1214	159
884	1215	157
885	1216	156
886	1218	155
887	1219	153
888	1220	152
889	1222	151
890	1223	149
891	1224	148
892	1226	146
893	1227	145
894	1228	144
895	1229	142
896	1230	141
897	1231	139
898	1233	138
899	1234	137
900	1235	135
901	1236	134
902	1237	132
903	1238	131
904	1239	130
905	1240	128
906	1241	127
907	1243	125
908	1244	124
909	1245	123
910	1246	121
911	1247	120
912	1248	118
913	1249	117
914	1251	116
915	1252	114
916	1253	113
917	1255	112
918	1256	110
919	1257	109
920	1258	107
921	1260	106
922	1261	105
923	1262	103
924	1264	102
925	1265	101
926	1266	99
927	1267	98
928	1268	96
929	1270	95
930	1271	94
931	1272	92
932	1273	91
933	1274	90
934	1275	88
935	1276	87
936	1277	85
937	1279	84
938	1280	83
939	1281	81
940	1283	80
941	1284	79
942	1285	77
943	1287	76
944	1288	74
945	1289	73
946	1290	72
947	1291	70
948	1292	69
949	1294	68
950	1295	66
951	1296	65
952	1297	63
953	1298	62
954	1299	61
955	1300	59
956	1301	58
957	1302	57
958	1304	55
959	1305	54
960	1306	53
961	1307	51
962	1308	50
963	1310	48
964	1311	47
965	1312	46
966	1314	44
967	1315	43
968	1316	42
969	1317	40
970	1319	39
971	1320	38
972	1321	36
973	1322	35
974	1323	33
975	1324	32
976	1326	31
977	1327	29
978	1328	28
979	1329	27
980	1330	25
981	1332	24
982	1333	23
983	1334	21
984	1335	20
985	1337	18
986	1338	17
987	1339	16
988	1340	14
989	1341	13
990	1342	12
991	1344	10
992	1345	9
993	1346	8
994	1347	6
995	1348	5
996	1349	4
997	1350	2
998	1352	1
999	1353	0
